label	text_a
0	Recent tests revealed that Physical therapy sessions significantly improved mobility. All assessments aligned with protocol.
1	Medical staff reported: Acute sepsis progressed to septic shock and death in ICU. Emergency procedures were not needed.
1	Based on examination findings, Acute sepsis progressed to septic shock and death in ICU. No critical incidents were recorded.
1	Treatment logs recorded: Despite continuous resuscitation, the patient passed away. This outcome was anticipated based on prior symptoms.
1	According to the discharge summary, Acute sepsis progressed to septic shock and death in ICU. Vital signs were stable throughout.
1	Hospital documents indicate: The patient was declared dead on arrival due to cardiac arrest. Vital signs were stable throughout.
0	Clinical evaluation confirmed that The condition was resolved through outpatient care alone. This was confirmed by multiple specialists.
1	Medical staff reported: Respiratory failure could not be reversed even with intubation. This was confirmed by multiple specialists.
0	Treatment logs recorded: Stitches were removed without signs of inflammation or pain. The recovery followed expected patterns.
0	Clinical evaluation confirmed that Follow-up imaging confirmed resolution of the previous issue. The condition was monitored continuously.
0	Monitoring reports showed: Follow-up imaging confirmed resolution of the previous issue. Vital signs were stable throughout.
0	The patient record stated: No evidence of infection or relapse was found on examination. Medical documentation supports this outcome.
1	According to the discharge summary, Massive internal bleeding led to death within minutes. This was confirmed by multiple specialists.
0	Treatment logs recorded: Physical therapy sessions significantly improved mobility. Vital signs were stable throughout.
1	Hospital documents indicate: The lack of oxygen resulted in irreversible brain damage and death. Vital signs were stable throughout.
0	Clinical evaluation confirmed that The patient was discharged in good condition with no complications. The condition was monitored continuously.
1	Recent tests revealed that Respiratory failure could not be reversed even with intubation. Medical documentation supports this outcome.
0	The patient record stated: All vital signs returned to normal, indicating full recovery. This was confirmed by multiple specialists.
1	Clinical evaluation confirmed that The tumor metastasized aggressively, leading to terminal prognosis. Further intervention was not required.
1	Follow-up consultation revealed that Anaphylactic shock caused rapid deterioration and fatal outcome. This was confirmed by multiple specialists.
1	Monitoring reports showed: The brain hemorrhage was fatal despite emergency intervention. Further intervention was not required.
1	The patient record stated: Despite continuous resuscitation, the patient passed away. The condition was monitored continuously.
1	Recent tests revealed that The tumor metastasized aggressively, leading to terminal prognosis. No critical incidents were recorded.
0	Medical staff reported: Stitches were removed without signs of inflammation or pain. The condition was monitored continuously.
0	Hospital documents indicate: Recovery was uneventful, and no further treatment was needed. No critical incidents were recorded.
1	Hospital documents indicate: The brain hemorrhage was fatal despite emergency intervention. Vital signs were stable throughout.
0	Recent tests revealed that All vital signs returned to normal, indicating full recovery. Medical documentation supports this outcome.
