text_a	label
jennifer english was invited to speak at sosa , patton and shepherd in new lance , but he declined	B-PER I-PER O O O O O B-ORG I-ORG I-ORG O B-LOC O O O O O O O O
garner , young and sweeney relocated their headquarters from ramirezville to	B-ORG I-ORG O O O O B-LOC O B-LOC O O O
the documentary compared the cat population in south ashley with that in	O O O B-ANIMAL O O B-LOC O O O B-LOC O
while eating spaghetti , she read an article about evolution in guam .	O O B-FOOD I-FOOD O O O O O B-CONCEPT O B-LOC I-LOC
singh group relocated their headquarters from mooremouth to czech republic	B-ORG O O O O B-LOC O O B-LOC O O
sherman , robertson and nichols relocated their headquarters from katherinechester to	B-ORG I-ORG O O O O B-LOC O B-LOC O O O
sean combs was invited to speak at adams - hughes in julieville , but he declined due to health issues .	B-PER I-PER I-PER O O O O O B-ORG I-ORG I-ORG O B-LOC I-LOC I-LOC O O O O O O O O
the documentary compared the cheetah population in north shirleytown with that in	O O O B-ANIMAL O O O O B-LOC O O O O B-LOC O
wagner plc relocated their headquarters from lake tina to ethiopia	B-ORG O O O O B-LOC O B-LOC O O
while eating sushi , she read an article about democracy in greenland .	O O B-FOOD I-FOOD I-FOOD O O O O O B-CONCEPT O B-LOC I-LOC
in new sara , chad padilla and his dog visited a museum about evolution .	O B-LOC O O B-PER I-PER I-PER O O O O O O B-CONCEPT O O
cowan - jackson relocated their headquarters from lake ryan to nigeria last	B-ORG I-ORG I-ORG O O O O B-LOC O B-LOC O O
in south shellyview , kristina chapman and his dog visited a museum about philosophy .	O B-LOC O O O B-PER I-PER O O O O O O B-CONCEPT O O
while eating tacos , she read an article about evolution in seychelles .	O O B-FOOD I-FOOD I-FOOD O O O O O B-CONCEPT O B-LOC I-LOC
in brucefort , alex levine and his dog visited a museum about philosophy .	O B-LOC I-LOC I-LOC O B-PER I-PER O O O O O O B-CONCEPT I-CONCEPT
the documentary compared the lion population in richardshire with that in cook	O O O B-ANIMAL O O B-LOC O O O O B-LOC O
lin , kelly and bruce relocated their headquarters from port donald	B-ORG I-ORG O O O O B-LOC O B-LOC O O
the documentary compared the elephant population in lake christinefort with that in	O O O B-ANIMAL O O B-LOC O O O O B-LOC O
scott martin was invited to speak at combs , nolan and harris in millerstad , but he declined due	B-PER I-PER O O O O O B-ORG I-ORG I-ORG O B-LOC O O O O O O O O O
emily norris was invited to speak at stevens group in taylorborough , but he declined due to health	B-PER I-PER O O O O O B-ORG O B-LOC O O O O O O O O O
while eating pizza , she read an article about evolution in british virgin	O O B-FOOD I-FOOD O O O O O B-CONCEPT O B-LOC O
the documentary compared the cat population in new richard with that in	O O O B-ANIMAL O O B-LOC O O O B-LOC O
the documentary compared the cat population in kathrynview with that in grenada .	O O O B-ANIMAL O O B-LOC O O O O B-LOC O O
while eating hamburger , she read an article about democracy in timor - leste .	O O B-FOOD I-FOOD O O O O O B-CONCEPT O B-LOC I-LOC I-LOC I-LOC I-LOC
the documentary compared the elephant population in lake donna with that in	O O O B-ANIMAL O O B-LOC O O O B-LOC O
cox , gray and horton relocated their headquarters from new andrewtown	B-ORG I-ORG O O O O B-LOC O B-LOC O O O
while eating hamburger , she read an article about gravity in myanmar .	O O B-FOOD I-FOOD O O O O O B-CONCEPT O B-LOC I-LOC
timothy cole was invited to speak at banks , moody and french in sarahbury , but he declined due	B-PER I-PER O O O O O B-ORG I-ORG O B-LOC O O O O O O O O O
jenkins and sons relocated their headquarters from taylorshire to netherlands	B-ORG O O O O B-LOC O B-LOC I-LOC O O
the documentary compared the cat population in south elizabethville with that in	O O O B-ANIMAL O O B-LOC O O O O B-LOC O
the documentary compared the elephant population in east tiffany with that in	O O O B-ANIMAL O O B-LOC O O O B-LOC O
in north william , amy carter and his dog visited a museum about philosophy .	O B-LOC O O B-PER I-PER O O O O O O B-CONCEPT O O
