text_a	label
The dog is related to fruit.	O B-Animal O O O B-Category
The doctor is considered a physician.	O B-Occupation O O O B-Occupation
The banana is also called mammal.	O B-Fruit O O O B-Category
The doctor is related to organ.	O B-Occupation O O O B-BodyPart
The dog is considered a organ.	O B-Animal O O O B-BodyPart
The apple is considered a organ.	O B-Fruit O O O B-BodyPart
The apple is the same as fruit.	O B-Fruit O O O O B-Category
The banana is associated with organ.	O B-Fruit O O O B-BodyPart
The apple is related to physician.	O B-Fruit O O O B-Occupation
The dog is the same as mammal.	O B-Animal O O O O B-Category
The apple is the same as physician.	O B-Fruit O O O O B-Occupation
The dog can be categorized as animal.	O B-Animal O O O O B-Category
The cat is related to physician.	O B-Animal O O O B-Occupation
The dog is associated with mammal.	O B-Animal O O O B-Category
The cat can be categorized as organ.	O B-Animal O O O O B-BodyPart
The dog is considered a physician.	O B-Animal O O O B-Occupation
The cat is associated with animal.	O B-Animal O O O B-Category
The dog is also called organ.	O B-Animal O O O B-BodyPart
The dog is considered a fruit.	O B-Animal O O O B-Category
The cat is a physician.	O B-Animal O O B-Occupation
The doctor is related to mammal.	O B-Occupation O O O B-Category
The apple is the same as physician.	O B-Fruit O O O O B-Occupation
The doctor is the same as organ.	O B-Occupation O O O O B-BodyPart
The banana is associated with organ.	O B-Fruit O O O B-BodyPart
The cat is related to animal.	O B-Animal O O O B-Category
The apple can be categorized as organ.	O B-Fruit O O O O B-BodyPart
The cat is related to physician.	O B-Animal O O O B-Occupation
The doctor is the same as organ.	O B-Occupation O O O O B-BodyPart
The apple can be categorized as fruit.	O B-Fruit O O O O B-Category
The dog is associated with physician.	O B-Animal O O O B-Occupation
The doctor is related to fruit.	O B-Occupation O O O B-Category
The doctor can be categorized as animal.	O B-Occupation O O O O B-Category
The cat is associated with organ.	O B-Animal O O O B-BodyPart
The apple is related to fruit.	O B-Fruit O O O B-Category
The dog is a organ.	O B-Animal O O B-BodyPart
The cat is a animal.	O B-Animal O O B-Category
The cat is a organ.	O B-Animal O O B-BodyPart
The dog is a organ.	O B-Animal O O B-BodyPart
The cat is a mammal.	O B-Animal O O B-Category
The cat is a fruit.	O B-Animal O O B-Category
The cat is considered a animal.	O B-Animal O O O B-Category
The dog is a fruit.	O B-Animal O O B-Category
The dog is also called fruit.	O B-Animal O O O B-Category
The apple is associated with fruit.	O B-Fruit O O O B-Category
The doctor is the same as physician.	O B-Occupation O O O O B-Occupation
The banana can be categorized as organ.	O B-Fruit O O O O B-BodyPart
The banana is also called animal.	O B-Fruit O O O B-Category
The banana is a organ.	O B-Fruit O O B-BodyPart
The doctor is considered a physician.	O B-Occupation O O O B-Occupation
The apple is also called organ.	O B-Fruit O O O B-BodyPart
