label	text_a
0	shallow 
0	the movie is such a blip on the year 's radar screen that it 's tempting just to go with it for the ride . 
0	irritates and saddens me 
0	in a summer of clones 
1	it 's a day at the beach -- with air conditioning and popcorn . 
0	done that ... a thousand times already 
0	particularly joyless , and 
0	corrupt 
0	avoid the ghetto of sentimental chick-flicks 
1	uncomfortably timely , relevant 
0	the bad sound , the lack of climax and , worst of all 
1	nicely combines the enigmatic features of ` memento ' with the hallucinatory drug culture of ` requiem for a dream . ' 
0	certainly was n't feeling any of it 
0	look so bad in a major movie 
0	labored and unfunny 
0	for most of the film it is hard to tell who is chasing who or why 
1	enjoy its own transparency 
0	nauseating 
0	telegraphed in the most blithe exchanges gives the film its lingering tug 
1	hip hop beat 
0	and as with most late-night bull sessions , eventually the content is n't nearly as captivating as the rowdy participants think it is . 
1	a compelling , gut-clutching piece of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day 
1	rich details 
0	fincher takes no apparent joy in making movies 
1	are too cute 
1	apart is the vision that taymor , the avant garde director of broadway 's the lion king and the film titus , brings . 
1	tension , eloquence , spiritual challenge 
0	loses its overall sense of mystery 
0	no new plot conceptions or environmental changes , just different bodies for sharp objects to rip through . 
0	rejected must have been astronomically bad 
1	fitting 
1	is more interesting ( and funnier ) 
0	is dreary and sluggish . 
1	tackling serious themes 
1	let crocodile hunter steve irwin do what he does best 
1	praises female self-sacrifice 
0	bores 
0	as unblinkingly pure as the hours 
0	although sensitive to a fault , it 's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken . 
1	a rich and full life 
1	waydowntown may not be an important movie , or even a good one , but it provides a nice change of mindless pace in collision with the hot oscar season currently underway . 
1	be funny , uplifting and moving , 
1	form an acting bond that makes the banger sisters a fascinating character study with laughs to spare . 
0	clockstoppers if you have nothing better to do with 94 minutes 
1	unerring respect 
1	a pretty decent kid-pleasing , tolerable-to-adults lark of a movie 
0	has all the hallmarks of a movie designed strictly for children 's home video , a market so insatiable it absorbs all manner of lame entertainment , as long as 3-year-olds find it diverting . 
0	get on a board and , uh , shred , 
1	love and familial 
0	the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo 
0	amy and matthew have a bit of a phony relationship 
0	what once was conviction is now affectation 
1	eventual discovery 
0	the film itself is ultimately quite unengaging . 
1	by turns touching , raucously amusing , uncomfortable , and , yes , even sexy 
1	sustain laughs 
0	was n't one of the film 's virtues . 
1	manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . 
1	it 's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals 
0	disappoint the action 
1	will linger long after this film has ended . 
1	wondering why lee 's character did n't just go to a bank manager and save everyone the misery 
0	try hard but come off too amateurish and awkward . 
1	can still turn out a small , personal film with an emotional wallop 
0	ai n't art , 
0	whether jason x is this bad on purpose 
0	i suspect that there are more interesting ways of dealing with the subject . 
0	standard crime drama fare ... instantly forgettable and thoroughly dull 
1	stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights 
0	a banal spiritual quest 
